,고객ID,고객유형,거주지,시,구군,남여구분,판매유형,계약유형,유통경로,계약일,계약기간,납부유형,제품군,월랜탈비용,계약상태,연체건수,연체여부,결제은행,해약여부,계정수
0,25702131,사업자,경기도,경기도, 화성시,여자,멤버십,멤버십S,렌탈재계약,10-20-2014,12,CMS,DES-1,66900,계약확정,0,없음,기업은행,정상,1
1,25742841,사업자,경기도,경기도, 가평군,여자,렌탈,프로모션,서비스 방문,10-21-2014,60,CMS,DES-1,142200,계약확정,0,없음,농협회원조합,정상,1
2,25742683,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,프로모션,일반,10-21-2014,60,CMS,DES-3A,102900,계약확정,0,없음,신한은행,정상,2
3,25742683,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,프로모션,일반,11-19-2014,60,CMS,DES-3A,102900,계약확정,0,없음,신한은행,정상,2
4,25851817,사업자,서울특별시,서울특별시, 강남구,여자,멤버십,멤버십S,렌탈재계약,10-21-2014,12,CMS,DES-1,96600,계약확정,0,없음,국민은행,정상,1
5,25742687,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,프로모션,영업방판,10-21-2014,60,CMS,DES-1,142200,계약확정,0,없음,SC제일은행,정상,3
6,25742687,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,일반,영업방판,10-21-2014,60,CMS,DES-2,96900,계약확정,0,없음,SC제일은행,정상,3
7,25742687,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,일반,영업방판,10-21-2014,60,CMS,DES-2,96900,계약확정,0,없음,SC제일은행,정상,3
8,25856039,사업자,경상도,부산광역시, 강서구,여자,렌탈,교체렌탈,서비스 방문,10-21-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협중앙회,정상,1
9,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,10-21-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
10,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,10-22-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
11,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,10-27-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
12,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-04-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
13,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-05-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
14,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-05-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
15,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-05-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
16,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-05-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,새마을금고,정상,45
17,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-05-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
18,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-05-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
19,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-05-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,새마을금고,정상,45
20,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-06-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
21,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-06-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
22,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-06-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
23,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-06-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
24,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-06-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
25,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-17-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
26,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-19-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
27,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,11-26-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
28,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-02-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
29,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-02-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
30,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-10-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
31,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-10-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
32,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-10-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
33,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-10-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,새마을금고,정상,45
34,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-10-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
35,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-10-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
36,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-10-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
37,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-11-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
38,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-11-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
39,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-11-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
40,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-12-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
41,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-15-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
42,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-17-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
43,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-17-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
44,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-19-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
45,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-19-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
46,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-23-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
47,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-24-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
48,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,12-26-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,새마을금고,정상,45
49,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,01-14-2015,60,가상계좌,DES-1,96900,계약확정,0,없음,새마을금고,정상,45
50,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,01-15-2015,60,가상계좌,DES-1,96900,계약확정,0,없음,농협중앙회,정상,45
51,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,01-16-2015,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
52,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,일반,렌탈총판,01-16-2015,60,가상계좌,DES-1,111900,계약확정,0,없음,국민은행,정상,45
53,25869517,사업자,경상도,부산광역시, 강서구,여자,렌탈,프로모션,렌탈총판,01-27-2015,60,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,45
54,25742711,사업자,경기도,경기도, 고양시 일산서구,여자,렌탈,프로모션,영업방판,10-21-2014,60,CMS,DES-1,124200,계약확정,0,없음,신한은행,정상,1
55,25742708,사업자,경기도,경기도, 고양시 일산서구,여자,렌탈,프로모션,영업방판,10-21-2014,60,CMS,DES-1,124200,계약확정,0,없음,우리은행,정상,2
56,25742708,사업자,경기도,경기도, 고양시 일산서구,여자,렌탈,일반,영업방판,10-21-2014,60,CMS,DES-3A,102900,계약확정,0,없음,우리은행,정상,2
57,25742710,사업자,경기도,경기도, 고양시 일산서구,여자,렌탈,프로모션,영업방판,10-21-2014,60,CMS,DES-1,124200,계약확정,0,없음,우리은행,정상,2
58,25742710,사업자,경기도,경기도, 고양시 일산서구,여자,렌탈,일반,영업방판,10-21-2014,60,CMS,DES-3A,102900,계약확정,0,없음,우리은행,정상,2
59,25751808,사업자,경기도,경기도, 광명시,여자,렌탈,프로모션,서비스 방문,10-21-2014,60,CMS,DES-3A,90900,계약확정,15,있음,기업은행,정상,1
60,25742697,사업자,경기도,광주시, 광주시,여자,렌탈,일반,서비스 방문,10-21-2014,60,CMS,DES-1,96900,계약확정,0,없음,국민은행,정상,1
61,25742745,사업자,서울특별시,서울특별시, 광진구,여자,렌탈,일반,서비스 방문,10-21-2014,60,CMS,DES-1,96900,계약확정,0,없음,국민은행,정상,1
62,25742895,사업자,경기도,경기도, 군포시,여자,렌탈,일반,영업방판,10-21-2014,60,CMS,DES-3A,102900,계약확정,0,없음,신한은행,정상,1
63,25856114,사업자,경기도,경기도, 김포시,여자,멤버십,멤버십S,렌탈재계약,10-21-2014,12,카드이체,DES-1,75900,계약확정,0,없음,BC카드,정상,1
64,25742725,사업자,경상도,경상도, 김해시,여자,렌탈,일반,R빌리미,10-21-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,1
65,25742816,사업자,경기도,인천광역시, 남동구,여자,렌탈,일반,영업방판,10-21-2014,60,CMS,DES-1,87900,계약확정,0,없음,신한은행,정상,1
66,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-21-2014,36,가상계좌,DES-1,180750,계약확정,1,있음,신한은행,정상,187
67,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-21-2014,36,가상계좌,DES-1,180750,계약확정,1,있음,우리은행,정상,187
68,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-21-2014,36,가상계좌,DES-1,180750,계약확정,1,있음,신한은행,정상,187
69,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-21-2014,36,가상계좌,DES-1,96900,계약확정,0,없음,외환은행,정상,187
70,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-21-2014,36,가상계좌,DES-1,96900,계약확정,0,없음,국민은행,정상,187
71,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
72,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
73,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
74,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
75,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
76,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
77,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
78,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
79,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
80,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-23-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
81,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-26-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,하나은행,정상,187
82,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-26-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
83,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-26-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
84,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-26-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
85,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-26-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
86,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-27-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
87,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-27-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,신한은행,정상,187
88,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-27-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,신한은행,정상,187
89,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-27-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,하나은행,정상,187
90,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-27-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
91,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-28-2014,36,가상계좌,DES-1,96900,계약확정,0,없음,신한은행,정상,187
92,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,10-30-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
93,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,10-31-2014,36,가상계좌,DES-3A,101550,계약확정,1,있음,농협회원조합,정상,187
94,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,10-31-2014,36,가상계좌,DES-3A,101550,계약확정,1,있음,국민은행,정상,187
95,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-01-2014,36,가상계좌,DES-1,96900,계약확정,0,없음,신한은행,정상,187
96,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-01-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,신한은행,정상,187
97,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-01-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
98,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-01-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
99,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-05-2014,36,가상계좌,DES-1,96900,계약확정,0,없음,외환은행,정상,187
100,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-06-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
101,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-11-2014,36,가상계좌,DES-3A,101550,계약확정,1,있음,국민은행,정상,187
102,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-11-2014,36,가상계좌,DES-3A,101550,계약확정,1,있음,국민은행,정상,187
103,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-11-2014,36,가상계좌,DES-3A,101550,계약확정,1,있음,국민은행,정상,187
104,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-11-2014,36,가상계좌,DES-3A,101550,계약확정,1,있음,국민은행,정상,187
105,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-13-2014,36,가상계좌,DES-1,96900,계약확정,0,없음,신한은행,정상,187
106,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-13-2014,36,가상계좌,DES-2,98910,계약확정,1,있음,국민은행,정상,187
107,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-13-2014,36,가상계좌,DES-2,98910,계약확정,1,있음,국민은행,정상,187
108,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-13-2014,36,가상계좌,DES-2,98910,계약확정,1,있음,국민은행,정상,187
109,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-13-2014,36,가상계좌,DES-2,98910,계약확정,1,있음,우리은행,정상,187
110,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-13-2014,36,가상계좌,DES-2,98910,계약확정,1,있음,신한은행,정상,187
111,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-13-2014,36,가상계좌,DES-2,98910,계약확정,1,있음,국민은행,정상,187
112,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-13-2014,36,가상계좌,DES-2,98910,계약확정,1,있음,외환은행,정상,187
113,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,일반,R유통사,11-13-2014,36,가상계좌,DES-2,98910,계약확정,1,있음,우리은행,정상,187
114,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-17-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
115,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-17-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
116,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-17-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
117,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-20-2014,36,가상계좌,DES-1,96900,계약확정,0,없음,외환은행,정상,187
118,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-21-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,신한은행,정상,187
119,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-21-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
120,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-21-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
121,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,외환은행,정상,187
122,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,신한은행,정상,187
123,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
124,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,신한은행,정상,187
125,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
126,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,우리은행,정상,187
127,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,신한은행,정상,187
128,25777820,사업자,경기도,경기도, 남양주시,여자,렌탈,프로모션,R유통사,11-22-2014,36,가상계좌,DES-1,123000,계약확정,1,있음,국민은행,정상,187
